time,date,one,two,three
0,1/22/20,0.0,0.0,0.0
1,1/23/20,0.0,0.0,0.0
2,1/24/20,2.0,0.0,0.0
3,1/25/20,3.0,0.0,0.0
4,1/26/20,3.0,0.0,0.0
5,1/27/20,3.0,0.0,0.0
6,1/28/20,4.0,0.0,0.0
7,1/29/20,5.0,0.0,0.0
8,1/30/20,5.0,0.0,0.0
9,1/31/20,5.0,0.0,0.0
10,2/1/20,6.0,0.0,0.0
11,2/2/20,6.0,0.0,0.0
12,2/3/20,6.0,0.0,0.0
13,2/4/20,6.0,0.0,0.0
14,2/5/20,6.0,0.0,0.0
15,2/6/20,6.0,0.0,0.0
16,2/7/20,6.0,0.0,0.0
17,2/8/20,11.0,0.0,0.0
18,2/9/20,11.0,0.0,0.0
19,2/10/20,11.0,0.0,0.0
20,2/11/20,11.0,0.0,0.0
21,2/12/20,11.0,0.0,2.0
22,2/13/20,11.0,0.0,2.0
23,2/14/20,11.0,0.0,2.0
24,2/15/20,12.0,1.0,4.0
25,2/16/20,12.0,1.0,4.0
26,2/17/20,12.0,1.0,4.0
27,2/18/20,12.0,1.0,4.0
28,2/19/20,12.0,1.0,4.0
29,2/20/20,12.0,1.0,4.0
30,2/21/20,12.0,1.0,4.0
31,2/22/20,12.0,1.0,4.0
32,2/23/20,12.0,1.0,4.0
33,2/24/20,12.0,1.0,4.0
34,2/25/20,14.0,1.0,11.0
35,2/26/20,18.0,2.0,11.0
36,2/27/20,38.0,2.0,11.0
37,2/28/20,57.0,2.0,11.0
38,2/29/20,100.0,2.0,12.0
39,3/1/20,130.0,2.0,12.0
40,3/2/20,191.0,3.0,12.0
41,3/3/20,204.0,4.0,12.0
42,3/4/20,285.0,4.0,12.0
43,3/5/20,377.0,6.0,12.0
44,3/6/20,653.0,9.0,12.0
45,3/7/20,949.0,11.0,12.0
46,3/8/20,1126.0,19.0,12.0
47,3/9/20,1209.0,19.0,12.0
48,3/10/20,1784.0,33.0,12.0
49,3/11/20,2281.0,48.0,12.0
50,3/12/20,2281.0,48.0,12.0
51,3/13/20,3661.0,79.0,12.0
52,3/14/20,4469.0,91.0,12.0
53,3/15/20,4499.0,91.0,12.0
54,3/16/20,6633.0,148.0,12.0
55,3/17/20,7652.0,148.0,12.0
56,3/18/20,9043.0,148.0,12.0
57,3/19/20,10871.0,243.0,12.0
58,3/20/20,12612.0,450.0,12.0
59,3/21/20,14282.0,562.0,12.0
60,3/22/20,16018.0,674.0,2200.0
61,3/23/20,19856.0,860.0,2200.0
62,3/24/20,22304.0,1100.0,3243.0
63,3/25/20,25233.0,1331.0,3900.0
64,3/26/20,29155.0,1696.0,4948.0
65,3/27/20,32964.0,1995.0,5700.0
66,3/28/20,37575.0,2314.0,5700.0
67,3/29/20,40174.0,2606.0,7202.0
68,3/30/20,44550.0,3024.0,7927.0
69,3/31/20,52128.0,3523.0,9444.0
70,4/1/20,56989.0,4403.0,10934.0
71,4/2/20,59105.0,5387.0,12428.0
72,4/3/20,64338.0,6507.0,14008.0
73,4/4/20,68605.0,7560.0,15438.0
74,4/5/20,70478.0,8078.0,16183.0
75,4/6/20,74390.0,8911.0,17250.0
76,4/7/20,78167.0,10328.0,19337.0
77,4/8/20,82048.0,10869.0,21254.0
78,4/9/20,86334.0,12210.0,23206.0
79,4/10/20,90676.0,13197.0,24932.0
80,4/11/20,93790.0,13832.0,26391.0
81,4/12/20,120633.0,14393.0,27186.0
82,4/13/20,124298.0,14967.0,27718.0
83,4/14/20,129257.0,15729.0,28805.0
84,4/15/20,132473.0,17167.0,30955.0
85,4/16/20,144944.0,17920.0,32812.0
86,4/17/20,146923.0,18681.0,34420.0
87,4/18/20,146906.0,19323.0,35983.0
88,4/19/20,151808.0,19718.0,36578.0
89,4/20/20,154188.0,20265.0,37409.0
90,4/21/20,156921.0,20796.0,39181.0
91,4/22/20,154715.0,21340.0,40657.0
92,4/23/20,157026.0,21856.0,42088.0
93,4/24/20,158636.0,22245.0,43493.0
94,4/25/20,160292.0,22614.0,44594.0
95,4/26/20,160847.0,22856.0,44903.0
96,4/27/20,164589.0,23293.0,45513.0
97,4/28/20,167605.0,23660.0,46886.0
98,4/29/20,165093.0,24087.0,48228.0
