time,date,one,two,three
0,1/22/20,0,0,0
1,1/23/20,0,0,0
2,1/24/20,2,0,0
3,1/25/20,3,0,0
4,1/26/20,3,0,0
5,1/27/20,3,0,0
6,1/28/20,4,0,0
7,1/29/20,5,0,0
8,1/30/20,5,0,0
9,1/31/20,5,0,0
10,2/1/20,6,0,0
11,2/2/20,6,0,0
12,2/3/20,6,0,0
13,2/4/20,6,0,0
14,2/5/20,6,0,0
15,2/6/20,6,0,0
16,2/7/20,6,0,0
17,2/8/20,11,0,0
18,2/9/20,11,0,0
19,2/10/20,11,0,0
20,2/11/20,11,0,0
21,2/12/20,11,0,2
22,2/13/20,11,0,2
23,2/14/20,11,0,2
24,2/15/20,12,1,4
25,2/16/20,12,1,4
26,2/17/20,12,1,4
27,2/18/20,12,1,4
28,2/19/20,12,1,4
29,2/20/20,12,1,4
30,2/21/20,12,1,4
31,2/22/20,12,1,4
32,2/23/20,12,1,4
33,2/24/20,12,1,4
34,2/25/20,14,1,11
35,2/26/20,18,2,11
36,2/27/20,38,2,11
37,2/28/20,57,2,11
38,2/29/20,100,2,12
39,3/1/20,130,2,12
40,3/2/20,191,3,12
41,3/3/20,204,4,12
42,3/4/20,285,4,12
43,3/5/20,377,6,12
44,3/6/20,653,9,12
45,3/7/20,949,11,12
46,3/8/20,1126,19,12
47,3/9/20,1209,19,12
48,3/10/20,1784,33,12
49,3/11/20,2281,48,12
50,3/12/20,2281,48,12
51,3/13/20,3661,79,12
52,3/14/20,4469,91,12
53,3/15/20,4499,91,12
54,3/16/20,6633,148,12
55,3/17/20,7652,148,12
56,3/18/20,9043,148,12
57,3/19/20,10871,243,12
58,3/20/20,12612,450,12
59,3/21/20,14282,562,12
60,3/22/20,16018,674,2200
61,3/23/20,19856,860,2200
62,3/24/20,22304,1100,3243
63,3/25/20,25233,1331,3900
64,3/26/20,29155,1696,4948
65,3/27/20,32964,1995,5700
66,3/28/20,37575,2314,5700
67,3/29/20,40174,2606,7202
68,3/30/20,44550,3024,7927
69,3/31/20,52128,3523,9444
70,4/1/20,56989,4403,10934
71,4/2/20,59105,5387,12428
72,4/3/20,64338,6507,14008
73,4/4/20,68605,7560,15438
74,4/5/20,70478,8078,16183
75,4/6/20,74390,8911,17250
76,4/7/20,78167,10328,19337
77,4/8/20,82048,10869,21254
78,4/9/20,86334,12210,23206
79,4/10/20,90676,13197,24932
80,4/11/20,93790,13832,26391
81,4/12/20,120633,14393,27186
82,4/13/20,124298,14967,27718
83,4/14/20,129257,15729,28805
84,4/15/20,132473,17167,30955
85,4/16/20,144944,17920,32812
86,4/17/20,146923,18681,34420
87,4/18/20,146906,19323,35983
88,4/19/20,151808,19718,36578
89,4/20/20,154188,20265,37409
90,4/21/20,156921,20796,39181
91,4/22/20,154715,21340,40657
92,4/23/20,157026,21856,42088
93,4/24/20,158636,22245,43493
94,4/25/20,160292,22614,44594
95,4/26/20,160847,22856,44903
96,4/27/20,164589,23293,45513
97,4/28/20,167605,23660,46886
98,4/29/20,165093,24087,48228
