time,one,two,three,four,five,six
0,1,1,1,1,1,1
1,1,1,1,1,1,1
2,1,1,1,1,1,1
3,1,1,1,1,1,1
4,1,1,1,1,1,1
5,2,2,2,2,2,2
6,2,2,2,2,2,2
7,2,2,2,2,2,2
8,3,3,3,3,3,3
9,3,3,3,3,3,3
10,3,3,3,3,3,3
11,4,4,4,4,4,4
12,5,5,5,5,5,5
13,5,5,5,5,5,5
14,6,6,6,6,6,6
15,7,7,7,7,7,7
16,8,8,8,8,8,8
17,9,9,9,9,9,9
18,11,11,11,11,11,11
19,13,13,13,13,13,13
20,14,14,14,14,14,14
21,17,17,17,17,17,17
22,19,19,19,19,19,19
23,22,22,22,22,22,22
24,26,26,26,26,26,26
25,30,30,30,30,30,30
26,34,34,34,34,34,34
27,40,40,40,40,40,40
28,46,46,46,46,46,46
29,53,53,53,53,53,53
30,61,61,61,61,61,61
31,71,71,71,71,71,71
32,82,82,82,82,82,82
33,94,94,94,94,94,94
34,109,109,109,109,109,109
35,126,126,126,126,126,126
36,145,145,145,145,145,145
37,168,168,168,168,168,168
38,194,194,194,194,194,194
39,224,224,224,224,224,224
40,259,259,259,259,259,259
41,299,299,299,299,299,299
42,345,345,345,345,345,345
43,399,399,399,399,399,399
44,461,461,461,461,461,461
45,533,533,533,533,533,533
46,615,615,615,615,615,615
47,711,711,711,711,711,711
48,821,821,821,821,821,821
49,948,948,948,948,948,948
50,1095,1095,1095,1095,1095,1095
51,1265,1265,1265,1265,1265,1265
52,1462,1462,1462,1462,1462,1462
53,1689,1689,1689,1689,1689,1689
54,1951,1951,1951,1951,1951,1951
55,2253,2253,2253,2253,2253,2253
56,2603,2603,2603,2603,2603,2603
57,3007,3007,3007,3007,3007,3007
58,3474,3474,3474,3474,3474,3474
59,4013,4013,4013,4013,4013,4013
60,4635,4635,4635,4635,4635,4635
61,5355,5355,5355,5355,5355,5355
62,6185,6185,6185,6185,6185,6185
63,7145,7145,7145,7145,7145,7145
64,8254,8254,8254,8254,8254,8254
65,9534,9534,9534,9534,9534,9534
66,11013,11013,11013,11013,11013,11013
67,12722,12722,12722,12722,12722,12722
68,14695,14695,14695,14695,14695,14695
69,16975,16975,16975,16975,16975,16975
70,19608,19608,19608,19608,19608,19608
71,22649,22649,22649,22649,22649,22649
72,26161,26161,26161,26161,26161,26161
73,30218,30218,30218,30218,30218,30218
74,34903,34903,34903,34903,34903,34903
75,40314,40314,40314,40314,40314,40314
76,46563,46563,46563,46563,46563,46563
77,53779,53779,53779,53779,53779,53779
78,62112,62111,62112,62111,62111,62112
79,71733,71732,71733,71732,71732,71733
80,82841,82840,82841,82840,82840,82841
81,95665,95664,95664,95663,95663,95664
82,110469,110466,110467,110465,110465,110467
83,127555,127549,127552,127548,127547,127551
84,147274,147263,147267,147259,147259,147267
85,170027,170005,170013,169999,169998,170013
86,196275,196233,196249,196221,196220,196247
87,226547,226467,226497,226445,226442,226495
88,261448,261298,261355,261256,261250,261351
89,301671,301385,301493,301307,301295,301486
90,347998,347457,347662,347309,347287,347648
91,401314,400293,400680,400014,399973,400653
92,462606,460689,461415,460165,460089,461365
93,532958,529385,530738,528410,528269,530644
94,613534,606954,609443,605159,604900,609271
95,705556,693642,698143,690400,689932,697833
96,810272,789224,797164,783517,782695,796615
97,928961,892973,906515,883263,881865,905578
98,1062986,1003871,1026041,988032,985756,1024504
99,1213909,1121075,1155735,1096427,1092892,1153327
100,1383605,1244350,1296056,1207795,1202567,1292452
101,1574312,1374229,1448037,1322409,1315023,1442874
102,1788602,1511827,1613171,1441230,1431206,1606053
103,2029307,1658537,1793206,1565530,1552379,1783704
104,2299459,1815795,1989971,1696595,1679817,1977622
105,2602243,1984953,2205290,1835585,1814660,2189592
106,2940950,2167253,2440949,1983499,1957880,2421352
107,3318935,2363833,2698689,2141188,2110299,2674594
108,3739546,2575740,2980198,2309394,2272621,2950953
109,4206036,2803950,3287102,2488767,2445460,3252002
110,4721448,3049368,3620942,2679891,2629364,3579230
111,5288466,3312826,3983134,2883289,2824816,3934010
112,5909234,3595070,4374932,3099425,3032249,4317555
113,6585147,3896741,4797363,3328701,3252032,4730866
114,7316615,4218353,5251164,3571448,3484474,5174669
115,8102804,4560265,5736708,3827915,3729807,5649348
116,8941379,4922648,6253921,4098258,3988177,6154859
117,9828247,5305449,6802194,4382521,4259633,6690660
118,10757345,5708361,7380302,4680622,4544109,7255621
119,11720478,6130779,7986315,4992338,4841412,7847947
120,12707260,6571769,8617530,5317282,5151205,8465109
121,13705160,7030032,9270405,5654890,5472990,9103785
122,14699702,7503879,9940530,6004406,5806098,9759818
123,15674809,7991200,10622610,6364865,6149674,10428211
124,16613315,8489459,11310497,6735083,6502665,11103143
125,17497598,8995685,11997254,7113644,6863812,11778025
126,18310323,9506483,12675261,7498904,7231646,12445597
127,19035227,10018056,13336375,7888983,7604486,13098072
128,19657882,10526248,13972117,8281775,7980444,13727306
129,20166376,11026597,14573904,8674959,8357435,14325014
130,20551854,11514408,15133305,9066018,8733187,14883007
131,20808858,11984841,15642300,9452265,9105269,15393441
132,20935466,12433008,16093552,9830877,9471113,15849070
133,20933206,12854086,16480645,10198932,9828049,16243486
134,20806789,13243426,16798299,10553454,10173341,16571322
135,20563681,13596675,17042534,10891466,10504233,16828425
136,20213579,13909879,17210783,11210039,10817994,17011974
137,19767825,14179591,17301936,11506353,11111966,17120537
138,19238829,14402953,17316332,11777748,11383614,17154079
139,18639512,14577767,17255685,12021776,11630574,17113907
140,17982827,14702543,17122967,12236258,11850702,17002568
141,17281350,14776520,16922246,12419322,12042113,16823707
142,16546965,14799671,16658501,12569440,12203217,16581898
143,15790638,14772681,16337420,12685461,12332754,16282452
144,15022265,14696902,15965189,12766625,12429809,15931223
145,14250593,14574296,15548300,12812576,12493829,15534415
146,13483201,14407360,15093359,12823357,12524628,15098401
147,12726518,14199043,14606929,12799402,12522381,14629559
148,11985884,13952657,14095387,12741514,12487610,14134134
